phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,590,863.15,NB,NI,-2292.473184014716,8,0.05,0.95,19
BCC_A2,590,863.15,NB,SI,-18624.336032766976,8,0.05,0.95,19
BCC_A2,590,863.15,NB,TI,1749.9127188981888,8,0.05,0.95,19
BCC_A2,590,863.15,NB,W,-4292.660893286756,8,0.05,0.95,19
BCC_A2,590,863.15,NI,SI,-25615.772378918733,8,0.05,0.95,19
BCC_A2,590,863.15,NI,TI,-12123.13616502239,8,0.05,0.95,19
BCC_A2,590,863.15,NI,W,0.038599963257417665,8,0.05,0.95,19
BCC_A2,590,863.15,SI,TI,-32960.23519605429,8,0.05,0.95,19
BCC_A2,590,863.15,SI,W,2.2929421284025588e-07,8,0.05,0.95,19
BCC_A2,590,863.15,TI,W,166.1121812599259,8,0.05,0.95,19
BCC_A2,610,883.15,CR,CU,0.4269929162939136,8,0.05,0.95,19
BCC_A2,610,883.15,CR,FE,3340.958004546859,8,0.05,0.95,19
BCC_A2,610,883.15,CR,MN,-2528.4691836177276,8,0.05,0.95,19
BCC_A2,610,883.15,CR,MO,1204.1714450243107,8,0.05,0.95,19
BCC_A2,610,883.15,CR,NB,461.06940073225127,8,0.05,0.95,19
BCC_A2,610,883.15,CR,NI,234.72453437814616,8,0.05,0.95,19
BCC_A2,610,883.15,CR,SI,-13066.56409009924,8,0.05,0.95,19
BCC_A2,610,883.15,CR,TI,1196.3461861451747,8,0.05,0.95,19
BCC_A2,610,883.15,CR,W,299.8661225799075,8,0.05,0.95,19
BCC_A2,610,883.15,CU,FE,83.8910994142265,8,0.05,0.95,19
BCC_A2,610,883.15,CU,MN,2129.725284499133,8,0.05,0.95,19
BCC_A2,610,883.15,CU,MO,2.098691297405344e-08,8,0.05,0.95,19
BCC_A2,610,883.15,CU,NB,36.73769253288624,8,0.05,0.95,19
BCC_A2,610,883.15,CU,NI,1089.430098382053,8,0.05,0.95,19
BCC_A2,610,883.15,CU,SI,-3249.463738481069,8,0.05,0.95,19
BCC_A2,610,883.15,CU,TI,-1.339832881326139e-08,8,0.05,0.95,19
BCC_A2,610,883.15,CU,W,2.246761513006503e-08,8,0.05,0.95,19
BCC_A2,610,883.15,FE,MN,1544.385692485336,8,0.05,0.95,19
BCC_A2,610,883.15,FE,MO,572.8384710649891,8,0.05,0.95,19
