ts,gen,phase,eval_id,code_int,code_hex,fit_df_surface,fit_neg_df_bulk,DF_bulk,IE_bulk,DF_surface,IE_surface,ok_go_no_go,T_eval_C,elapsed_s,from_cache,val_C,val_B,val_N,val_Mn,val_Si,val_Cr,val_Mo,val_V,val_Ni,val_Ti,val_Al,val_Nb,val_W,val_t_hom,val_version,val_flags,val_crc8,val_spare,bulk_C,bulk_B,bulk_N,bulk_Mn,bulk_Si,bulk_Cr,bulk_Mo,bulk_V,bulk_Ni,bulk_Ti,bulk_Al,bulk_Nb,bulk_W,gng_reason,gng_LIQ,gng_BCC_A2@t_hom,gng_BCC_A2,gng_Cr_matrix_wt,gng_FCC_A1#2,gng_M23C6_D84,gng_D_Fe,gng_D_Mo,gng_D_W,gng_D_Mo_minus_D_Fe,gng_D_W_minus_D_Fe
2025-08-19 16:52:50,0,init,166,137742945405157332703632159905622786048,0x67a053899a184a8f529fc06420000000,-1000000.0,-1000000.0,,,,,False,650.0,1.76379,False,0.101,0.006,0.032,2.12,0.02,12.1,1.43,0.05,0.04,0.15,1.6504,1.288,0.5800000000000001,1065,0,0,0,0,0.101,0.006,0.032,2.12,0.02,12.1,1.43,0.05,0.04,0.15,1.6504,1.288,0.5800000000000001,BCC_A2 too low at t_hom,,0.9879418776093342,,,,,,,,,
2025-08-19 16:52:52,0,init,167,131410556097108627768608925003997511680,0x62dcc0a3d05452085c1e03f1e0000000,-1000000.0,-1000000.0,,,,,False,650.0,1.921349,False,0.099,0.003,0.028,4.3,0.08,17.759999999999998,3.83,0.09,0.0,0.08,1.8404,1.218,1.15,975,0,0,0,0,0.099,0.003,0.028,4.3,0.08,17.759999999999998,3.83,0.09,0.0,0.08,1.8404,1.218,1.15,BCC_A2 too low at t_hom,,0.9863246420880585,,,,,,,,,
2025-08-19 16:52:54,0,init,168,158232159059546193750329802626397372416,0x770a67c3b14f872b389c0887a0000000,-1000000.0,-1000000.0,,,,,False,650.0,1.671197,False,0.10900000000000001,0.004,0.01,2.52,0.16,17.450000000000003,3.64,0.03,0.09,0.11,1.1304,1.1380000000000001,1.8800000000000001,1205,0,0,0,0,0.10900000000000001,0.004,0.01,2.52,0.16,17.450000000000003,3.64,0.03,0.09,0.11,1.1304,1.1380000000000001,1.8800000000000001,LIQ>0 at t_hom,0.00040383902637248847,,,,,,,,,,
2025-08-19 16:52:55,0,init,169,53036061425436565346855844145166024704,0x27e65fb6ce8c9ec714c35c9860000000,-1000000.0,-1000000.0,,,,,False,650.0,1.796902,False,0.069,0.007,0.038,2.3600000000000003,0.13,15.18,6.08,0.15,0.06,0.07,0.41040000000000004,2.7079999999999997,5.09,1235,0,0,0,0,0.069,0.007,0.038,2.3600000000000003,0.13,15.18,6.08,0.15,0.06,0.07,0.41040000000000004,2.7079999999999997,5.09,LIQ>0 at t_hom,0.0028466585903802175,,,,,,,,,,
2025-08-19 16:52:57,0,init,170,122808783926264790142335355694914469888,0x5c641c87508c20d289130a8520000000,-1000000.0,-1000000.0,,,,,False,650.0,1.669754,False,0.096,0.001,0.036000000000000004,1.02,0.01,16.48,6.0600000000000005,0.16,0.06,0.18,2.7404,0.778,2.2,1105,0,0,0,0,0.096,0.001,0.036000000000000004,1.02,0.01,16.48,6.0600000000000005,0.16,0.06,0.18,2.7404,0.778,2.2,BCC_A2 too low at t_hom,,0.989663638977743,,,,,,,,,
2025-08-19 16:52:59,0,init,171,177824121782331750069677120627601833984,0x85c7ae1ade955e5072071d0200000000,-1000000.0,-1000000.0,,,,,False,650.0,2.156193,False,0.116,0.007,0.007,3.93,0.06,15.34,6.43,0.15,0.02,0.16,2.2804,0.29800000000000004,5.16,980,0,0,0,0,0.116,0.007,0.007,3.93,0.06,15.34,6.43,0.15,0.02,0.16,2.2804,0.29800000000000004,5.16,BCC_A2 too low at t_hom,,0.9500138653430047,,,,,,,,,
2025-08-19 16:53:01,0,init,172,174946979215677989510296670692767170560,0x839d90063c76520c41004df940000000,-1000000.0,-1000000.0,,,,,False,650.0,2.108394,False,0.115,0.006,0.029,3.33,0.01,13.719999999999999,5.19,0.09,0.0,0.12,1.3004,0.027999999999999997,2.75,1270,0,0,0,0,0.115,0.006,0.029,3.33,0.01,13.719999999999999,5.19,0.09,0.0,0.12,1.3004,0.027999999999999997,2.75,LIQ>0 at t_hom,0.0034313571715992876,,,,,,,,,,
2025-08-19 16:53:03,0,init,173,24068081596652506846749904779530469376,0x121b580a2a0f45e149344b8220000000,-1000000.0,-1000000.0,,,,,False,650.0,2.062268,False,0.059000000000000004,0.0,0.027,2.21,0.02,13.54,1.07,0.02,0.15,0.01,1.4604,2.1079999999999997,2.3600000000000003,985,0,0,0,0,0.059000000000000004,0.0,0.027,2.21,0.02,13.54,1.07,0.02,0.15,0.01,1.4604,2.1079999999999997,2.3600000000000003,BCC_A2 too low at t_hom,,0.9593953604427116,,,,,,,,,
2025-08-19 16:53:05,0,init,174,142686643930255672080664292880176644096,0x6b5872b18014a294590f0b6880000000,-1000000.0,-1000000.0,,,,,False,650.0,1.915765,False,0.10300000000000001,0.005,0.024,2.74,0.12,11.84,1.28,0.17,0.04,0.2,1.7804,0.618,2.34,1240,0,0,0,0,0.10300000000000001,0.005,0.024,2.74,0.12,11.84,1.28,0.17,0.04,0.2,1.7804,0.618,2.34,LIQ>0 at t_hom,0.0005719455600181805,,,,,,,,,,
2025-08-19 16:53:07,0,init,175,133664436266402355034602391776985612288,0x648ed5830605d3d58b36620600000000,-1000000.0,-1000000.0,,,,,False,650.0,1.899917,False,0.1,0.002,0.014,4.720000000000001,0.0,15.74,0.6900000000000001,0.09,0.14,0.21,2.7804,2.1879999999999997,5.960000000000001,1140,0,0,0,0,0.1,0.002,0.014,4.720000000000001,0.0,15.74,0.6900000000000001,0.09,0.14,0.21,2.7804,2.1879999999999997,5.960000000000001,BCC_A2 too low at t_hom,,0.9542995481377148,,,,,,,,,
2025-08-19 16:53:12,0,init,176,78244517709494973695390760806966624256,0x3add58911a3046356b020f6340000000,-1000000.0,-1000000.0,,,,,False,650.0,4.842805,False,0.079,0.003,0.029,2.22,0.04,10.82,2.39,0.03,0.01,0.21,2.1404,0.098,2.98,1030,0,0,0,0,0.079,0.003,0.029,2.22,0.04,10.82,2.39,0.03,0.01,0.21,2.1404,0.098,2.98,FCC_A1#2 below minimum at T_eval,,,,,0.001166607779175459,,,,,,
2025-08-19 16:53:14,0,init,177,21797439238807640507392332737659535360,0x106608ba640c4e2c701dcde0e0000000,-1000000.0,-1000000.0,,,,,False,650.0,2.032686,False,0.058,0.001,0.038,0.62,0.14,14.120000000000001,0.95,0.07,0.01,0.12,2.2404,1.208,2.74,935,0,0,0,0,0.058,0.001,0.038,0.62,0.14,14.120000000000001,0.95,0.07,0.01,0.12,2.2404,1.208,2.74,BCC_A2 too low at t_hom,,0.9680621627126746,,,,,,,,,
